repo,ecosystem,language,stars,months_since_push,total_ghsa,fixed_ghsa,fix_coverage_pct,packages
hashicorp/consul,Go,Go,29907,0.0,33,33,100,"github.com/hashicorp/consul, github.com/hashicorp/consul-template"
opencv/opencv,pypi,C++,87761,0.0,33,32,97,"opencv-contrib-python, opencv-contrib-python-headless, opencv-python, opencv-python-headless"
undertow-io/undertow,Maven,Java,3748,0.2,33,29,88,"io.undertow:undertow-core, io.undertow:undertow-parent, io.undertow:undertow-servlet, org.wildfly:wildfly-undertow"
nocodb/nocodb,npm,TypeScript,63249,0.0,33,25,76,nocodb
go-vikunja/vikunja,Go,Go,4445,0.0,33,23,70,code.vikunja.io/api
honojs/hono,npm,TypeScript,30793,0.0,32,32,100,"@fastify/static, hono"
PrestaShop/PrestaShop,packagist,PHP,9093,0.0,32,31,97,prestashop/prestashop
apache/inlong,Maven,Java,1492,0.0,32,30,94,"org.apache.inlong:inlong, org.apache.inlong:inlong-common, org.apache.inlong:inlong-manager, org.apache.inlong:manager-common, org.apache.inlong:manager-dao, org.apache.inlong:manager-pojo, org.apache"
PaddlePaddle/Paddle,pypi,C++,23935,0.0,32,27,84,"PaddlePaddle, paddlepaddle"
nats-io/nats-server,Go,Go,19952,0.0,31,31,100,"github.com/nats-io/jwt, github.com/nats-io/jwt/v2, github.com/nats-io/nats-server, github.com/nats-io/nats-server/v2, github.com/nats-io/nats-streaming-server"
